nr,gid,name,flaeche,umfang,einwohner
"56","3",Waltershofen,"7583373.833579176","19386.214029048773","2210"
"43","15",Günterstal,"15103407.65370086","26520.061188841108","2105"
"54","26",Landwasser,"1245817.449625108","5212.06542770212","7158"
"62","11",St. Georgen,"10665785.233066762","17770.22878455268","12646"
"63","19",Opfingen,"14624327.186020855","23011.7583862002","4563"
"53","1",Betzenhausen,"2162666.599755875","6341.274155455197","14441"
"41","6",Oberau,"1282206.524226843","5831.180221933286","6904"
"11","27",Altstadt,"1187941.7432890132","4604.65665995515","7698"
"34","10",Kappel,"13821536.52906427","19022.779449616144","2703"
"23","2",Brühl,"11478651.201370817","17669.368551341926","12517"
"22","4",Zähringen,"3128282.8620874803","11100.323812911989","9295"
"66","5",Weingarten,"1630506.4738423626","5540.201339402888","11333"
"32","7",Littenweiler,"4129950.28406034","10334.17129062977","8265"
"52","20",Mooswald,"1628353.3753637988","6451.782097841749","9292"
"55","8",Lehen,"3613265.9227635157","11109.022254350151","2479"
"61","9",Haslach,"3419863.7242710167","8783.450523449646","21114"
"68","12",Vauban,"412814.5138174907","2979.418347636459","5359"
"12","13",Neuburg,"1636432.6077586592","7141.305798148382","5174"
"24","14",Hochdorf,"10106664.704476159","13811.857029001992","5213"
"21","21",Herdern,"4294782.789550154","9685.204094523973","12734"
"64","16",Tiengen,"8381631.59607164","18976.669145054213","3408"
"33","17",Ebnet,"6868398.302599419","12621.748423556935","2709"
"57","18",Mundenhof,"1465159.1597052356","5641.289917902376","45"
"65","22",Munzingen,"6770300.643233898","13661.280876936995","3064"
"51","23",Stühlinger,"1739367.2136497989","5345.24155558901","16196"
"67","24",Rieselfeld,"3911356.854344746","10892.091534875191","9657"
"31","25",Waldsee,"4822002.477912086","12239.916647577962","6110"
"42","28",Wiehre,"5956331.69215365","11254.473177370179","25033"
